ID	other_names	genome_data	library_prep	geographical_origin	ecological_origin	substrate	ecology_category	monosporic_derivative	ploidyFACS	ploidyBAF	aneuploidy_BAF	aneuploidy_RD	aneuploidy_binary	aneuploidy_type	RD_aneuploidy	Contaminated	Chr_end_bias	High_var	basename	avg_cov	population_old	pop_summary	population_new	heterozygosity	reference	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	ploidyCons	aneuploidy_num	lineage
BI005	NA	PRJNA323691	NA	Brazil	Bioethanol	NA	Bioethanol	No	NA	2	No	No	No	No	No	No	No	No	BI005	121	Mosaic	Mosaic	TBD	0.002186918	Gallone_et_al_2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Brazilian Bioethanol
SA001	NA	PRJNA323691	NA	Japan	Saké	NA	Sake	No	NA	2	No	+1@5	Yes	Gain	Yes	0.03	No	No	SA001	88	Asian	Asian	TBD	0.000434149	Gallone_et_al_2016	NA	NA	NA	NA	+1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	Sake
SA002	NA	PRJNA323691	NA	Japan	Saké	NA	Sake	No	NA	2	1@1	+1@1	Yes	Gain	Yes	No	No	No	SA002	101	Wine	Wine	TBD	0.000371861	Gallone_et_al_2016	+1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	Wine
SA003	NA	PRJNA323691	NA	Japan	Saké	NA	Sake	No	NA	2	+1@1	+1@1	Yes	Gain	Yes	0.01	No	No	SA003	84	Asian	Asian	TBD	0.000301893	Gallone_et_al_2016	+1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	Sake
SA004	NA	PRJNA323691	NA	Japan	Saké	NA	Sake	No	NA	2	No	No	No	No	No	0.03	No	No	SA004	110	Asian	Asian	TBD	0.000285509	Gallone_et_al_2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Sake
SA005	NA	PRJNA323691	NA	Japan	Saké	NA	Sake	No	NA	2	No	No	No	No	No	No	No	No	SA005	101	Asian	Asian	TBD	0.000331442	Gallone_et_al_2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Sake
SA006	NA	PRJNA323691	NA	Japan	Saké	NA	Sake	No	NA	2	No	No	No	No	No	No	No	No	SA006	107	Asian	Asian	TBD	0.000407507	Gallone_et_al_2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Sake
SA007	NA	PRJNA323691	NA	Japan	Saké	NA	Sake	No	NA	2	+1@11	+1@11	Yes	Gain	Yes	0.01	No	No	SA007	118	Asian	Asian	TBD	0.000980593	Gallone_et_al_2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	+1	NA	NA	NA	NA	NA	2	1	Sake
SP002	NA	PRJNA323691	NA	France	Spirits	NA	Fermentation	No	NA	2	No	No	No	No	No	No	No	No	SP002	106	Wine	Wine	TBD	0.000633932	Gallone_et_al_2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Wine
SP004	NA	PRJNA323691	NA	Brazil	Spirits	NA	Fermentation	No	NA	2	No	No	No	No	No	No	No	No	SP004	77	Wine	Wine	TBD	0.001955156	Gallone_et_al_2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Brazilian Bioethanol
SP011	NA	PRJNA323691	Nextera_XT	Unknown	Spirits	NA	Fermentation	No	NA	2	No	No	No	No	No	No	Yes	Yes	SP011	48	Wine	Wine	TBD	0.000538066	Gallone_et_al_2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Wine
WI001	NA	PRJNA323691	NA	France	Wine	NA	Wine	No	NA	2	No	No	No	No	No	No	Yes	No	WI001	96	Wine	Wine	TBD	0.000716319	Gallone_et_al_2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Wine
WI003	NA	PRJNA323691	NA	France	Wine	NA	Wine	No	NA	2	No	No	No	No	No	0.03	No	No	WI003	101	Wine	Wine	TBD	0.000870888	Gallone_et_al_2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Wine
WI004	NA	PRJNA323691	NA	Germany	Wine	NA	Wine	No	NA	2	No	+1@8	Yes	Gain	Yes	No	No	No	WI004	88	Wine	Wine	TBD	0.0005315	Gallone_et_al_2016	NA	NA	NA	NA	NA	NA	NA	+1	NA	NA	NA	NA	NA	NA	NA	NA	2	1	Wine
WI005	NA	PRJNA323691	NA	Germany	Wine	NA	Wine	No	NA	2	No	No	No	No	No	No	Yes	No	WI005	100	Wine	Wine	TBD	0.000489214	Gallone_et_al_2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Wine
WI008	NA	PRJNA323691	NA	Unknown	Wine	NA	Wine	No	NA	2	+1@9	+1@9	Yes	Gain	Yes	No	No	No	WI008	86	Mosaic	Mosaic	TBD	0.002892606	Gallone_et_al_2016	NA	NA	NA	NA	NA	NA	NA	NA	+1	NA	NA	NA	NA	NA	NA	NA	2	1	Mixed Origin
WI009	NA	PRJNA323691	NA	Germany	Wine	NA	Wine	No	NA	2	+1@9	No	No	No	No	No	No	No	WI009	95	Wine	Wine	TBD	0.000602755	Gallone_et_al_2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Wine
WI010	NA	PRJNA323691	NA	France	Wine	NA	Wine	No	NA	2	No	+1@6	Yes	Gain	Yes	No	No	No	WI010	104	Wine	Wine	TBD	0.001887967	Gallone_et_al_2016	NA	NA	NA	NA	NA	+1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	Wine
WI011	NA	PRJNA323691	NA	France	Wine	NA	Wine	No	NA	2	No	No	No	No	No	0.05	Yes	No	WI011	111	Wine	Wine	TBD	0.000719173	Gallone_et_al_2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Wine
WI013	NA	PRJNA323691	NA	France	Wine	NA	Wine	No	NA	2	No	No	No	No	No	No	No	No	WI013	162	Wine	Wine	TBD	0.000648492	Gallone_et_al_2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Wine
WI014	NA	PRJNA323691	NA	Germany	Wine	NA	Wine	No	NA	2	No	+1@3	Yes	Gain	Yes	No	No	No	WI014	115	Wine	Wine	TBD	0.00065144	Gallone_et_al_2016	NA	NA	+1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	Wine
WI016	NA	PRJNA323691	NA	Italy	Wine	NA	Wine	No	NA	2	No	No	No	No	No	No	No	No	WI016	78	Mosaic	Mosaic	TBD	0.004115405	Gallone_et_al_2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Mosaic
WI017	NA	PRJNA323691	NA	Spain	Wine	NA	Wine	No	NA	2	No	No	No	No	No	No	No	No	WI017	186	Wine	Wine	TBD	0.001139015	Gallone_et_al_2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Wine
WI018	NA	PRJNA323691	NA	Unknown	Wine	NA	Wine	No	NA	2	No	No	No	No	No	No	No	No	WI018	99	Wine	Wine	TBD	0.00166031	Gallone_et_al_2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Wine
WL001	NA	PRJNA323691	Nextera_XT	Ghana	Wild_(Cocoa)	NA	Cocoa	No	NA	2	No	No	No	No	No	No	No	No	WL001	127	Mosaic	Mosaic	TBD	0.001983926	Gallone_et_al_2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	West African Cocoa
WL003	NA	PRJNA323691	Nextera_XT	Ivory_coast	Wild_(Cocoa)	NA	Cocoa	No	NA	2	No	No	No	No	No	No	No	No	WL003	181	Mosaic	Mosaic	TBD	0.001235093	Gallone_et_al_2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	West African Cocoa
AHN1	NA	PRJNA680387	NA	Bozhou,Anhui, China	Fermented sorghum grain	NA	SSF	No	NA	2	+1@12	+1@12	Yes	Gain	Yes	No	No	No	AHN1	219.9603102	Mixed 1	Mixed 1	NA	0.000867174	Han_et_al_2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	+1	NA	NA	NA	NA	2	1	Asian Ferm.
BJQ1	NA	PRJNA680387	NA	Beijing, China	Fermented sorghum grain	NA	SSF	No	NA	2	No	No	No	No	No	No	No	No	BJQ1	264.6090489	Huangjiu	Huangjiu	NA	0.000722488	Han_et_al_2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Asian Ferm.
BJQ2	NA	PRJNA680387	NA	Beijing, China	Fermented sorghum grain	NA	SSF	No	NA	2	No	No	No	No	No	No	No	No	BJQ2	202.9565223	Mixed 1	Mixed 1	NA	0.00172606	Han_et_al_2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Asian Ferm.
BJQ4	NA	PRJNA680387	NA	Beijing, China	Fermented sorghum grain	NA	SSF	No	NA	2	No	No	No	No	No	No	No	No	BJQ4	266.5106587	Baijiu	Baijiu	NA	0.001757143	Han_et_al_2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Asian Ferm.
BJQ5	NA	PRJNA680387	NA	Beijing, China	Fermented sorghum grain	NA	SSF	No	NA	2	No	No	No	No	No	No	Chr12	No	BJQ5	291.0500359	Baijiu	Baijiu	NA	0.00206433	Han_et_al_2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Asian Ferm.
BJQ6	NA	PRJNA680387	NA	Beijing, China	Fermented sorghum grain	NA	SSF	No	NA	2	No	No	No	No	No	No	No	No	BJQ6	328.8543921	Baijiu	Baijiu	NA	0.001305718	Han_et_al_2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Asian Ferm.
ETPF10	NA	PRJNA680387	NA	Addis Ababa, Ethiopia	Sorghum beer	NA	Beer	No	NA	2	No	No	No	No	No	0.03	No	No	ETPF10	265.2846193	African Honey Wine	African Honey Wine	NA	0.002789743	Han_et_al_2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Ethiopia
ETPF11	NA	PRJNA680387	NA	Gonder, Ethiopia	Honey wine	NA	Fermentation	No	NA	2	No	No	No	No	No	0.05	No	No	ETPF11	302.1203001	African Honey Wine	African Honey Wine	NA	0.001941762	Han_et_al_2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Ethiopia
ETPF12	NA	PRJNA680387	NA	Gonder, Ethiopia	Mash	NA	Fermentation	No	NA	2	No	No	No	No	No	No	No	No	ETPF12	225.5707359	African Honey Wine	African Honey Wine	NA	0.003131761	Han_et_al_2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Ethiopia
ETPF13	NA	PRJNA680387	NA	Lalibela, Ethiopia	Honey wine	NA	Fermentation	No	NA	2	No	No	No	No	No	0.05	No	No	ETPF13	238.8931315	African Honey Wine	African Honey Wine	NA	0.002294762	Han_et_al_2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Ethiopia
ETPF2	NA	PRJNA680387	NA	Addis Ababa, Ethiopia	Honey wine	NA	Fermentation	No	NA	2	No	No	No	No	No	No	No	No	ETPF2	249.4115428	Mosaic Honey Wine	Mosaic Honey Wine	NA	0.003418843	Han_et_al_2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Ethiopia
ETPF3	NA	PRJNA680387	NA	Addis Ababa, Ethiopia	Honey wine	NA	Fermentation	No	NA	2	No	No	No	No	No	No	No	No	ETPF3	246.7649112	African Honey Wine	African Honey Wine	NA	0.002497758	Han_et_al_2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Ethiopia
ETPF6	NA	PRJNA680387	NA	Addis Ababa, Ethiopia	Honey wine	NA	Fermentation	No	NA	2	No	No	No	No	No	0.03	No	No	ETPF6	266.8341073	Mosaic Honey Wine	Mosaic Honey Wine	NA	0.003423616	Han_et_al_2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Ethiopia
ETPF9	NA	PRJNA680387	NA	Gonder, Ethiopia	Honey wine	NA	Fermentation	No	NA	2	No	No	No	No	No	0.03	No	No	ETPF9	329.9695204	African Honey Wine	African Honey Wine	NA	0.002429105	Han_et_al_2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Ethiopia
ETPN14	NA	PRJNA680387	NA	Lalibela, Ethiopia	Wheat	NA	Other_plants	No	NA	2	No	No	No	No	No	0.03	No	No	ETPN14	313.3557938	African Honey Wine	African Honey Wine	NA	0.001494244	Han_et_al_2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Ethiopia
ETPN7	NA	PRJNA680387	NA	Addis Ababa, Ethiopia	Wheat	NA	Other_plants	No	NA	2	No	No	No	No	No	0.05	No	No	ETPN7	302.0030262	African Honey Wine	African Honey Wine	NA	0.001525979	Han_et_al_2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Ethiopia
ETPN8	NA	PRJNA680387	NA	Gonder, Ethiopia	Geshu leaves	NA	Tree	No	NA	2	No	No	No	No	No	0.05	No	No	ETPN8	257.0018263	African Honey Wine	African Honey Wine	NA	0.001391401	Han_et_al_2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Ethiopia
GSU1	NA	PRJNA680387	NA	Tianshui, Gansu, China	Daqu (starter) of Baijiu (Chinese liquor)	NA	SSF	No	NA	2	No	No	No	No	No	No	No	No	GSU1	249.9571557	Qingkejiu	Qingkejiu	NA	0.001383387	Han_et_al_2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Asian Ferm.
GXU1	NA	PRJNA680387	NA	Guangxi, China	Fermenting rice	NA	SSF	No	NA	2	No	No	No	No	No	No	Chr12	No	GXU1	283.3352662	Huangjiu	Huangjiu	NA	0.000738181	Han_et_al_2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Asian Ferm.
GZJ2	NA	PRJNA680387	NA	Guizhou, China	Fermented sorghum grain	NA	SSF	No	NA	2	+1@9	+1@9	Yes	Gain	Yes	No	No	No	GZJ2	272.9823585	Mantou 7	Mantou 7	NA	0.000946741	Han_et_al_2021	NA	NA	NA	NA	NA	NA	NA	NA	+1	NA	NA	NA	NA	NA	NA	NA	2	1	Asian Ferm.
GZJ3	NA	PRJNA680387	NA	Maotai,Guizhou, China	Fermented sorghum grain	NA	SSF	No	NA	2	No	No	No	No	No	No	Chr12	No	GZJ3	230.4171412	Baijiu	Baijiu	NA	0.000688092	Han_et_al_2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Asian Ferm.
GZJ4	NA	PRJNA680387	NA	Maotai,Guizhou, China	Fermented sorghum grain	NA	SSF	No	NA	2	No	No	No	No	No	No	No	No	GZJ4	194.2654795	Baijiu	Baijiu	NA	0.000958077	Han_et_al_2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Asian Ferm.
GZJ5	NA	PRJNA680387	NA	Maotai,Guizhou, China	Fermented sorghum grain	NA	SSF	No	NA	2	No	No	No	No	No	No	No	No	GZJ5	170.7456566	Baijiu	Baijiu	NA	0.00095206	Han_et_al_2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Asian Ferm.
GZU1	NA	PRJNA680387	NA	Duyun, Guizhou, China	Daqu (starter) of Baijiu (Chinese liquor)	NA	SSF	No	NA	2	+1@1,2,4,9,11,12	+1@1,2,4,9,11,12	Yes	Gain	Yes	No	No	No	GZU1	291.3599253	Qingkejiu	Qingkejiu	NA	0.00120134	Han_et_al_2021	+1	+1	NA	+1	NA	NA	NA	NA	+1	NA	+1	+1	NA	NA	NA	NA	2	1	Asian Ferm.
HBU1	NA	PRJNA680387	NA	Hubei, China	Fermented sorghum grain	NA	SSF	No	NA	2	+1@12	+1@12	Yes	Gain	Yes	No	Chr12	No	HBU1	155.9516682	Qingkejiu	Qingkejiu	NA	0.001335421	Han_et_al_2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	+1	NA	NA	NA	NA	2	1	Asian Ferm.
HBU2	NA	PRJNA680387	NA	Hubei, China	Fermented sorghum grain	NA	SSF	No	NA	2	No	No	No	No	No	No	No	No	HBU2	218.5394836	Huangjiu	Huangjiu	NA	0.000736367	Han_et_al_2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Asian Ferm.
HLJU1	NA	PRJNA680387	NA	Mudanjing,Heilongjiang, China	Daqu (starter) of Baijiu (Chinese liquor)	NA	SSF	No	NA	2	No	No	No	No	No	No	No	No	HLJU1	256.4156832	Mixed 1	Mixed 1	NA	0.001617457	Han_et_al_2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Asian Ferm.
HNN1	NA	PRJNA680387	NA	Henan, China	Fermented sorghum grain	NA	SSF	No	NA	2	No	No	No	No	No	No	No	No	HNN1	251.340748	Huangjiu	Huangjiu	NA	0.000723649	Han_et_al_2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Asian Ferm.
JSN1	NA	PRJNA680387	NA	Huaian,Jiangsu, China	Fermented sorghum grain	NA	SSF	No	NA	2	No	No	No	No	No	No	No	No	JSN1	273.3037764	Baijiu	Baijiu	NA	0.002051897	Han_et_al_2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Asian Ferm.
JSN2	NA	PRJNA680387	NA	Huaian,Jiangsu, China	Fermented sorghum grain	NA	SSF	No	NA	2	No	No	No	No	No	No	No	No	JSN2	209.1706775	Huangjiu	Huangjiu	NA	0.000781757	Han_et_al_2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Asian Ferm.
JSN3	NA	PRJNA680387	NA	Huaian, Jiangsu, China	Fermented sorghum grain	NA	SSF	No	NA	2	+1@14	+1@14	Yes	Gain	Yes	No	No	No	JSN3	204.7415899	Mosaic 3 (Baijiu)	Mosaic 3 (Baijiu)	NA	0.002043664	Han_et_al_2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	+1	NA	NA	2	1	Asian Ferm.
JSN4	NA	PRJNA680387	NA	Huaian,Jiangsu, China	Fermented sorghum grain	NA	SSF	No	NA	2	No	No	No	No	No	No	Chr12	No	JSN4	225.4865223	Baijiu	Baijiu	NA	0.001429401	Han_et_al_2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Asian Ferm.
JSN5	NA	PRJNA680387	NA	Huaian,Jiangsu, China	Fermented sorghum grain	NA	SSF	No	NA	2	No	No	No	No	No	No	Chr12	No	JSN5	207.823389	Huangjiu	Huangjiu	NA	0.000747157	Han_et_al_2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Asian Ferm.
